ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
11219247051723,14566,14562,4,5,10,2,0,0,-11219247426319,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4509980674003,1005655538863
11219251046746,14569,14559,13,12,51,3,0,0,-11219251422548,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,1,1,3315897759343,833633988332
11219251805368,196,14569,12,13,2,4,0,0,-11219251445521,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4547706613122,1032200280596
11219251811514,196,14137,12,13,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4547706613122,1032200280596
11219259046989,14567,14572,14,15,50,3,0,0,-11219259426243,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,1,4587884765625,1060486930268
11219259321398,10499,14567,15,14,1,2,0,0,-11219259449326,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3211147699110,817361356885
11219287058735,14572,14567,14,15,38,2,0,0,-11219287427716,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4588035805988,1060549678939
11219287070818,14572,10499,14,15,38,2,0,0,-11219287427716,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4588035805988,1060549678939
11219303045951,14558,14564,11,10,28,2,0,0,-11219303425852,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3420292522772,847576293911
11219303052586,14558,10493,11,10,28,2,0,0,-11219303425852,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3420292522772,847576293911
11219331050783,14558,14564,11,10,35,2,0,0,-11219331428801,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3420292522772,847576293911
11219331352499,10493,14558,10,11,1,2,0,0,-11219331451433,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4564191137918,1039343357944
11219331358296,10493,14564,10,11,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4564191137918,1039343357944
11219403043820,14565,14564,11,0,40,2,0,0,-11219403383313,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,3420670091047,847631650125
11219403052341,14565,10493,11,0,40,2,0,0,-11219403421719,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,3420670091047,847631650125
11219427042873,14559,14567,14,12,20,3,0,0,-11219427412628,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,4588609953489,1060634810318
11219427049857,14559,14334,14,12,20,3,0,0,-11219415442865,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,4588609953489,1060634810318
11219427052162,14559,10499,14,12,20,3,0,0,-11219427420364,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,4588609953489,1060634810318
11219655078433,14565,14564,11,0,6,2,0,0,-11219655433572,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,3421578705883,847880073313
11219655085487,14565,7154,11,0,6,2,0,0,-11219655433572,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,3421578705883,847880073313
